CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
6293000,1,1,3,M,62,1,9,-,-,3,IMPERIAL,WESTMORLAND,2016
6678384,2,1,3,F,47,1,9,-,-,3,IMPERIAL,EL CENTRO,2017
6718637,2,1,3,F,71,1,9,-,-,3,IMPERIAL,EL CENTRO,2017
6718641,2,1,3,F,68,1,0,-,-,3,IMPERIAL,EL CENTRO,2017
7159479,1,1,1,F,37,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
7159507,2,1,1,F,57,3,1,M,G,0,IMPERIAL,EL CENTRO,2016
7166661,1,1,3,M,14,4,9,-,-,3,IMPERIAL,EL CENTRO,2016
7168425,2,1,1,M,33,3,1,L,G,0,IMPERIAL,EL CENTRO,2016
7173720,1,1,2,F,13,0,6,M,G,0,IMPERIAL,EL CENTRO,2016
7173720,1,2,2,F,9,0,4,M,G,0,IMPERIAL,EL CENTRO,2016
7173720,2,1,1,M,44,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
7174170,2,1,1,M,58,4,1,M,G,3,IMPERIAL,EL CENTRO,2016
7178540,1,1,1,M,21,4,1,M,G,0,IMPERIAL,BRAWLEY,2016
7178540,2,1,2,M,5,4,5,M,G,0,IMPERIAL,BRAWLEY,2016
7178540,2,2,2,M,4,0,4,M,G,0,IMPERIAL,BRAWLEY,2016
7178540,2,3,2,M,0,0,6,M,G,0,IMPERIAL,BRAWLEY,2016
7183623,2,1,4,M,68,3,9,-,-,3,IMPERIAL,EL CENTRO,2016
7183623,2,2,2,F,75,0,6,M,G,0,IMPERIAL,EL CENTRO,2016
7183623,2,3,2,M,83,0,3,M,G,0,IMPERIAL,EL CENTRO,2016
7183656,1,1,1,M,19,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
7183656,2,1,1,F,44,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
7183656,2,2,2,F,42,4,3,M,G,0,IMPERIAL,EL CENTRO,2016
7183914,1,1,4,M,13,3,1,P,V,2,IMPERIAL,EL CENTRO,2016
7188766,1,1,2,F,22,0,3,L,G,0,IMPERIAL,EL CENTRO,2016
7188766,2,1,2,F,78,4,3,M,G,0,IMPERIAL,EL CENTRO,2016
7189018,2,1,1,F,61,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
7197703,1,1,2,F,18,4,3,L,G,0,IMPERIAL,EL CENTRO,2016
7197703,2,1,2,-,70,4,3,L,G,0,IMPERIAL,EL CENTRO,2016
7197703,2,2,1,M,74,4,1,L,G,0,IMPERIAL,EL CENTRO,2016
7198341,2,1,2,F,83,3,3,L,G,0,IMPERIAL,EL CENTRO,2016
7198341,2,2,1,M,85,3,1,L,G,0,IMPERIAL,EL CENTRO,2016
7198342,1,1,1,F,24,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
7198342,1,2,2,M,3,4,6,M,Q,0,IMPERIAL,EL CENTRO,2016
7198342,1,3,2,F,6,4,4,M,Q,0,IMPERIAL,EL CENTRO,2016
7198485,1,1,1,-,54,4,1,L,G,0,IMPERIAL,CALEXICO,2016
7198489,2,1,1,F,32,4,1,M,G,3,IMPERIAL,EL CENTRO,2016
7198490,1,1,1,M,22,3,1,L,G,0,IMPERIAL,EL CENTRO,2016
7198490,1,2,2,M,998,4,3,L,G,0,IMPERIAL,EL CENTRO,2016
7198490,2,1,1,M,50,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
7198491,2,1,1,F,76,4,1,M,G,3,IMPERIAL,EL CENTRO,2016
7198491,2,2,2,F,97,4,3,M,G,3,IMPERIAL,EL CENTRO,2016
7198492,1,1,1,F,66,4,1,L,G,0,IMPERIAL,EL CENTRO,2016
7198492,2,1,1,M,85,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
7198493,1,1,1,M,17,3,1,L,G,0,IMPERIAL,EL CENTRO,2016
7199652,1,1,4,M,69,1,9,-,-,3,IMPERIAL,CALEXICO,2016
7201563,2,1,4,-,26,4,9,-,V,3,IMPERIAL,BRAWLEY,2016
7201571,1,1,1,M,30,4,1,-,-,3,IMPERIAL,BRAWLEY,2016
7210040,1,1,2,M,5,4,4,P,S,0,IMPERIAL,EL CENTRO,2016
7210040,1,2,2,F,8,4,6,P,G,0,IMPERIAL,EL CENTRO,2016
7210486,1,1,1,M,54,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
7210490,2,1,1,M,28,4,1,P,W,3,IMPERIAL,EL CENTRO,2016
7210494,2,1,1,F,36,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
7210494,3,1,1,F,37,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
7210522,1,1,1,F,15,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
7210522,1,2,2,F,12,4,3,M,G,0,IMPERIAL,EL CENTRO,2016
7210522,1,3,2,F,14,3,6,M,G,0,IMPERIAL,EL CENTRO,2016
8005264,1,1,2,F,22,0,3,M,G,0,IMPERIAL,EL CENTRO,2016
8005264,2,1,1,F,62,4,1,-,-,0,IMPERIAL,EL CENTRO,2016
8005276,1,1,2,F,65,0,3,M,G,0,IMPERIAL,EL CENTRO,2016
8005276,2,1,1,M,44,4,1,P,-,0,IMPERIAL,EL CENTRO,2016
8013893,1,1,1,M,25,4,1,L,B,0,IMPERIAL,EL CENTRO,2016
8018376,2,1,1,F,30,4,1,L,G,0,IMPERIAL,EL CENTRO,2016
8018384,2,1,2,F,35,0,3,M,G,0,IMPERIAL,EL CENTRO,2016
8018384,2,2,2,F,15,4,6,M,G,0,IMPERIAL,EL CENTRO,2016
8018388,2,1,1,M,40,4,1,P,G,0,IMPERIAL,EL CENTRO,2016
8018388,2,2,2,M,31,4,3,P,G,0,IMPERIAL,EL CENTRO,2016
8018392,1,1,2,M,24,0,6,L,G,0,IMPERIAL,EL CENTRO,2016
8018392,1,2,2,F,20,3,3,M,G,0,IMPERIAL,EL CENTRO,2016
8018392,1,3,1,M,24,2,1,L,G,0,IMPERIAL,EL CENTRO,2016
8018392,2,1,2,F,28,4,3,L,G,0,IMPERIAL,EL CENTRO,2016
8018392,2,2,2,M,3,0,5,M,Q,0,IMPERIAL,EL CENTRO,2016
8018392,2,3,2,M,4,0,6,M,Q,0,IMPERIAL,EL CENTRO,2016
8018432,1,1,2,M,43,4,4,M,H,0,IMPERIAL,EL CENTRO,2016
8018432,2,1,2,M,13,0,4,M,G,0,IMPERIAL,EL CENTRO,2016
8018432,2,2,2,F,10,0,6,M,F,0,IMPERIAL,EL CENTRO,2016
8019774,1,1,1,M,28,3,9,L,C,0,IMPERIAL,EL CENTRO,2016
8029781,1,1,2,F,69,4,3,M,G,0,IMPERIAL,BRAWLEY,2016
8030004,1,1,3,M,16,3,9,-,V,3,IMPERIAL,BRAWLEY,2016
8030826,1,1,2,M,56,0,3,M,G,0,IMPERIAL,EL CENTRO,2016
8030826,2,1,4,F,42,3,1,P,V,0,IMPERIAL,EL CENTRO,2016
8030858,2,1,1,F,43,4,1,P,G,0,IMPERIAL,EL CENTRO,2016
8030858,2,2,2,F,22,0,3,P,G,0,IMPERIAL,EL CENTRO,2016
8030858,2,3,2,F,20,0,4,P,G,0,IMPERIAL,EL CENTRO,2016
8030858,2,4,2,M,18,0,5,P,G,0,IMPERIAL,EL CENTRO,2016
8030858,2,5,2,M,22,0,6,P,G,0,IMPERIAL,EL CENTRO,2016
8038520,1,1,1,M,19,4,9,-,-,3,IMPERIAL,BRAWLEY,2016
8039512,1,1,2,F,24,4,6,-,M,3,IMPERIAL,EL CENTRO,2016
8039512,2,1,1,M,26,4,1,-,G,3,IMPERIAL,EL CENTRO,2016
8045572,1,1,1,M,24,4,1,L,B,0,IMPERIAL,EL CENTRO,2016
8045572,1,2,2,M,19,4,9,L,B,0,IMPERIAL,EL CENTRO,2016
8045572,1,3,2,M,21,4,9,L,B,0,IMPERIAL,EL CENTRO,2016
8045572,1,4,2,M,19,4,9,L,B,0,IMPERIAL,EL CENTRO,2016
8045572,1,5,2,M,14,0,9,L,B,0,IMPERIAL,EL CENTRO,2016
8045572,1,6,2,M,17,0,9,L,B,0,IMPERIAL,EL CENTRO,2016
8045623,1,1,3,M,14,3,9,-,-,3,IMPERIAL,EL CENTRO,2016
8045623,2,1,3,M,12,3,9,-,-,3,IMPERIAL,EL CENTRO,2016
8045631,1,1,4,M,15,4,1,P,V,0,IMPERIAL,EL CENTRO,2016
8045635,1,1,4,F,6,4,9,P,V,1,IMPERIAL,EL CENTRO,2016
8045635,2,1,2,F,998,0,2,P,G,0,IMPERIAL,EL CENTRO,2016
8045639,2,1,1,F,41,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
8046078,2,1,1,F,37,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
8046078,2,2,2,F,5,0,4,M,Q,0,IMPERIAL,EL CENTRO,2016
8046912,1,1,2,M,2,0,6,M,C,0,IMPERIAL,BRAWLEY,2016
8046912,1,2,2,F,6,0,4,M,C,0,IMPERIAL,BRAWLEY,2016
8046912,1,3,1,F,25,4,1,-,-,3,IMPERIAL,BRAWLEY,2016
8046912,2,1,2,F,27,0,3,M,B,3,IMPERIAL,BRAWLEY,2016
8049043,2,1,1,M,39,4,1,P,G,0,IMPERIAL,EL CENTRO,2016
8050111,1,1,1,M,20,3,1,L,G,0,IMPERIAL,BRAWLEY,2016
8050111,2,1,2,F,59,4,3,M,G,0,IMPERIAL,BRAWLEY,2016
8051578,2,1,1,M,58,4,1,M,G,0,IMPERIAL,BRAWLEY,2016
8051578,3,1,1,F,57,4,1,L,G,0,IMPERIAL,BRAWLEY,2016
8058548,1,1,2,F,59,4,2,M,C,3,IMPERIAL,EL CENTRO,2016
8058548,2,1,1,F,55,4,1,M,C,3,IMPERIAL,EL CENTRO,2016
8058587,1,1,1,F,71,4,1,L,G,0,IMPERIAL,EL CENTRO,2016
8058587,1,2,2,M,5,0,6,M,G,0,IMPERIAL,EL CENTRO,2016
8058587,2,1,2,M,14,4,3,M,H,0,IMPERIAL,EL CENTRO,2016
8058615,1,1,2,-,24,0,3,M,G,0,IMPERIAL,EL CENTRO,2016
8058615,1,2,2,M,29,0,4,M,G,0,IMPERIAL,EL CENTRO,2016
8058615,2,1,1,F,39,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
8058615,2,2,2,F,998,0,6,M,G,0,IMPERIAL,EL CENTRO,2016
8058619,2,1,2,M,6,4,6,M,G,0,IMPERIAL,EL CENTRO,2016
8058619,2,2,2,F,1,0,4,M,Q,0,IMPERIAL,EL CENTRO,2016
8058623,1,1,2,F,16,0,3,M,G,0,IMPERIAL,EL CENTRO,2016
8058623,2,1,2,F,10,4,3,M,G,0,IMPERIAL,EL CENTRO,2016
8061343,1,1,2,F,22,0,3,M,G,0,IMPERIAL,EL CENTRO,2016
8061343,1,2,2,F,22,0,4,M,G,0,IMPERIAL,EL CENTRO,2016
8061343,1,3,2,F,19,0,6,M,G,0,IMPERIAL,EL CENTRO,2016
8061343,2,1,1,F,48,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
8069690,2,1,1,F,32,4,1,M,G,0,IMPERIAL,BRAWLEY,2016
8069697,1,1,2,F,18,4,3,L,G,0,IMPERIAL,BRAWLEY,2016
8069697,2,1,2,-,998,4,1,-,-,3,IMPERIAL,BRAWLEY,2016
8069697,2,2,2,-,998,4,3,-,-,3,IMPERIAL,BRAWLEY,2016
8069697,2,3,2,-,998,4,6,-,-,3,IMPERIAL,BRAWLEY,2016
8069698,1,1,1,F,67,3,1,M,G,0,IMPERIAL,BRAWLEY,2016
8070190,1,1,1,F,28,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
8081517,2,1,3,M,15,2,9,-,-,3,IMPERIAL,HOLTVILLE,2016
8085876,1,1,1,F,53,4,1,M,C,0,IMPERIAL,EL CENTRO,2016
8085876,2,1,2,F,25,0,2,M,C,0,IMPERIAL,EL CENTRO,2016
8093402,2,1,2,F,53,4,3,M,G,0,IMPERIAL,BRAWLEY,2016
8093402,2,2,1,M,52,4,1,M,G,0,IMPERIAL,BRAWLEY,2016
8097781,1,1,2,F,22,0,3,M,G,0,IMPERIAL,BRAWLEY,2016
8097781,1,2,2,M,21,4,5,M,C,0,IMPERIAL,BRAWLEY,2016
8104580,2,1,4,M,35,3,1,P,U,0,IMPERIAL,EL CENTRO,2016
8104584,1,1,1,F,64,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
8104584,2,1,1,M,43,4,1,L,G,0,IMPERIAL,EL CENTRO,2016
8104584,2,2,2,F,46,3,4,L,G,0,IMPERIAL,EL CENTRO,2016
8104632,1,1,2,F,84,0,3,L,G,0,IMPERIAL,EL CENTRO,2016
8104632,2,1,1,F,42,4,1,L,G,0,IMPERIAL,EL CENTRO,2016
8104632,2,2,2,M,16,0,3,L,G,0,IMPERIAL,EL CENTRO,2016
8104632,2,3,2,F,13,0,7,L,G,0,IMPERIAL,EL CENTRO,2016
8104632,2,4,2,F,11,0,7,L,G,0,IMPERIAL,EL CENTRO,2016
8104636,1,1,1,M,24,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
8104636,2,1,1,F,52,4,1,L,G,0,IMPERIAL,EL CENTRO,2016
8105918,1,1,2,M,38,4,3,M,G,3,IMPERIAL,BRAWLEY,2016
8105918,1,2,2,F,13,4,4,M,G,3,IMPERIAL,BRAWLEY,2016
8121655,2,1,2,M,1,4,6,M,Q,0,IMPERIAL,EL CENTRO,2016
8121659,1,1,2,F,21,0,2,M,G,0,IMPERIAL,EL CENTRO,2016
8121659,2,1,1,M,47,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
8121696,2,1,1,F,44,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
8121700,2,1,4,F,35,2,1,N,V,1,IMPERIAL,EL CENTRO,2016
8121704,1,1,1,F,37,4,1,-,-,3,IMPERIAL,EL CENTRO,2016
8121708,1,1,2,M,55,0,2,M,C,0,IMPERIAL,EL CENTRO,2016
8121708,1,2,2,F,1,0,3,P,Q,0,IMPERIAL,EL CENTRO,2016
8121708,2,1,1,F,36,4,1,M,C,0,IMPERIAL,EL CENTRO,2016
8124054,1,1,1,M,43,3,1,L,G,0,IMPERIAL,EL CENTRO,2016
8124058,2,1,2,F,34,4,4,M,G,0,IMPERIAL,EL CENTRO,2016
8124058,2,2,1,M,28,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
8124326,2,1,2,M,51,4,3,M,G,0,IMPERIAL,EL CENTRO,2016
8124335,1,1,2,F,2,0,5,P,Q,0,IMPERIAL,EL CENTRO,2016
8124335,2,1,1,F,42,4,1,L,G,0,IMPERIAL,EL CENTRO,2016
8124339,1,1,4,M,26,4,0,P,A,0,IMPERIAL,EL CENTRO,2016
8124343,2,1,1,M,28,3,1,P,A,1,IMPERIAL,EL CENTRO,2016
8129790,1,1,4,M,45,4,0,P,A,1,IMPERIAL,EL CENTRO,2016
8134586,1,1,2,M,26,0,2,M,G,0,IMPERIAL,EL CENTRO,2016
8134586,2,1,1,F,47,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
8137872,2,1,1,F,32,3,1,M,G,0,IMPERIAL,EL CENTRO,2016
8137872,2,2,2,F,24,0,6,M,X,0,IMPERIAL,EL CENTRO,2016
8137872,3,1,2,F,26,4,3,M,G,0,IMPERIAL,EL CENTRO,2016
8137872,4,1,2,F,28,0,8,M,G,0,IMPERIAL,EL CENTRO,2016
8137872,4,2,2,F,22,0,4,M,X,0,IMPERIAL,EL CENTRO,2016
8138002,1,1,2,M,4,3,5,L,R,1,IMPERIAL,EL CENTRO,2016
8138002,1,2,1,F,39,2,1,L,H,0,IMPERIAL,EL CENTRO,2016
8138006,1,1,2,F,8,4,4,M,G,0,IMPERIAL,BRAWLEY,2016
8138018,2,1,3,F,50,2,9,-,-,3,IMPERIAL,BRAWLEY,2016
8138030,1,1,2,F,79,3,3,L,G,3,IMPERIAL,BRAWLEY,2016
8138905,1,1,1,F,31,4,1,M,G,0,IMPERIAL,BRAWLEY,2016
8139217,2,1,3,F,36,3,9,-,-,3,IMPERIAL,BRAWLEY,2016
8142290,2,1,3,F,66,4,0,P,-,0,IMPERIAL,EL CENTRO,2016
8146816,2,1,2,F,49,0,3,M,G,0,IMPERIAL,EL CENTRO,2016
8146816,2,2,2,F,14,4,6,M,G,0,IMPERIAL,EL CENTRO,2016
8146816,2,3,2,F,3,0,4,M,G,0,IMPERIAL,EL CENTRO,2016
8146816,2,4,1,F,20,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
8154963,1,1,1,M,51,3,1,L,G,0,IMPERIAL,HOLTVILLE,2016
8157778,1,1,1,F,36,4,1,M,G,0,IMPERIAL,BRAWLEY,2016
8157930,1,1,2,M,16,0,3,M,G,0,IMPERIAL,BRAWLEY,2016
8157930,1,2,1,-,43,3,1,M,G,0,IMPERIAL,BRAWLEY,2016
8160105,2,1,1,M,40,3,1,L,G,0,IMPERIAL,IMPERIAL,2016
8160105,2,2,2,F,39,3,3,L,G,0,IMPERIAL,IMPERIAL,2016
8160105,2,3,2,F,14,3,6,L,G,0,IMPERIAL,IMPERIAL,2016
8160105,2,4,2,F,35,2,3,M,G,0,IMPERIAL,IMPERIAL,2016
8160145,3,1,2,F,59,4,3,M,G,0,IMPERIAL,IMPERIAL,2016
8161106,1,1,1,F,20,3,1,M,G,3,IMPERIAL,IMPERIAL,2016
8164915,1,1,1,M,60,2,1,L,C,0,IMPERIAL,EL CENTRO,2016
8164915,3,1,1,F,27,4,1,L,C,0,IMPERIAL,EL CENTRO,2016
8164919,1,1,2,F,26,0,3,M,G,0,IMPERIAL,EL CENTRO,2016
8164919,2,1,1,F,38,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
8164930,1,1,1,M,27,3,1,L,G,0,IMPERIAL,EL CENTRO,2016
8164955,1,1,2,F,79,4,3,M,G,0,IMPERIAL,EL CENTRO,2016
8164959,2,1,4,F,55,4,0,-,-,0,IMPERIAL,EL CENTRO,2016
8165194,1,1,3,M,28,3,9,-,-,3,IMPERIAL,EL CENTRO,2016
8165194,2,1,2,M,14,0,3,M,G,0,IMPERIAL,EL CENTRO,2016
8165524,1,1,1,M,26,3,1,L,-,0,IMPERIAL,IMPERIAL,2016
8165540,1,1,1,F,20,4,1,M,P,0,IMPERIAL,IMPERIAL,2016
8165540,2,1,1,F,29,4,1,L,P,0,IMPERIAL,IMPERIAL,2016
8165548,1,1,1,M,23,3,1,M,G,0,IMPERIAL,IMPERIAL,2016
8165548,2,1,1,F,22,3,1,L,G,0,IMPERIAL,IMPERIAL,2016
8165548,3,1,2,F,26,0,3,M,G,0,IMPERIAL,IMPERIAL,2016
8165556,1,1,1,F,37,4,1,M,G,0,IMPERIAL,IMPERIAL,2016
8165556,2,1,2,F,65,4,3,L,G,0,IMPERIAL,IMPERIAL,2016
8165556,2,2,2,F,31,4,4,M,G,0,IMPERIAL,IMPERIAL,2016
8165556,2,3,2,F,94,4,6,M,G,0,IMPERIAL,IMPERIAL,2016
8165556,2,4,1,M,62,4,1,L,G,0,IMPERIAL,IMPERIAL,2016
8165560,1,1,2,F,52,0,3,M,G,0,IMPERIAL,IMPERIAL,2016
8165560,2,1,1,M,39,3,1,P,V,0,IMPERIAL,IMPERIAL,2016
8165564,2,1,1,M,39,3,1,L,G,0,IMPERIAL,IMPERIAL,2016
8165568,1,1,1,M,49,4,1,L,G,0,IMPERIAL,IMPERIAL,2016
8165568,2,1,1,F,20,4,1,L,G,0,IMPERIAL,IMPERIAL,2016
8165600,1,1,1,F,18,4,1,L,G,0,IMPERIAL,IMPERIAL,2016
8165658,1,1,2,M,5,4,4,M,R,3,IMPERIAL,IMPERIAL,2016
8165658,2,1,2,F,9,3,6,M,R,3,IMPERIAL,IMPERIAL,2016
8166756,1,1,3,M,55,1,9,-,-,3,IMPERIAL,IMPERIAL,2016
8167016,2,1,3,F,2,1,9,-,-,0,IMPERIAL,EL CENTRO,2016
8167151,2,1,3,-,70,1,9,-,-,3,IMPERIAL,BRAWLEY,2018
8167973,2,1,1,F,41,4,1,M,G,0,IMPERIAL,CALEXICO,2018
8167973,2,2,2,-,14,4,3,M,G,0,IMPERIAL,CALEXICO,2018
8167977,2,1,1,-,24,3,1,M,G,0,IMPERIAL,CALEXICO,2018
8167981,2,1,3,M,23,3,9,-,-,3,IMPERIAL,CALEXICO,2018
8167985,2,1,3,F,28,3,9,-,-,3,IMPERIAL,CALEXICO,2018
8167985,3,1,3,M,5,3,9,-,-,3,IMPERIAL,CALEXICO,2018
8167989,2,1,3,M,75,3,9,-,-,3,IMPERIAL,CALEXICO,2018
8167993,2,1,1,F,34,4,1,M,G,0,IMPERIAL,CALEXICO,2019
8168501,2,1,2,F,27,4,2,G,M,0,IMPERIAL,BRAWLEY,2016
8168537,2,1,1,F,42,4,1,M,G,0,IMPERIAL,BRAWLEY,2016
8168924,1,1,4,M,15,3,1,V,-,3,IMPERIAL,BRAWLEY,2016
8168928,1,1,4,-,15,4,9,-,-,3,IMPERIAL,BRAWLEY,2016
8169467,2,1,3,F,53,2,9,-,-,3,IMPERIAL,BRAWLEY,2016
8169471,2,1,3,M,17,3,1,-,-,3,IMPERIAL,BRAWLEY,2016
8169566,1,1,1,F,26,4,1,M,G,0,IMPERIAL,BRAWLEY,2016
8169566,1,2,2,-,998,4,3,M,G,0,IMPERIAL,BRAWLEY,2016
8171466,1,1,4,F,19,4,1,P,A,1,IMPERIAL,EL CENTRO,2016
8171470,2,1,1,F,26,4,1,M,C,0,IMPERIAL,EL CENTRO,2016
8171470,2,2,2,F,47,4,2,M,C,0,IMPERIAL,EL CENTRO,2016
8171501,1,1,1,F,58,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
8171501,1,2,2,M,17,0,3,M,G,0,IMPERIAL,EL CENTRO,2016
8171505,2,1,1,F,50,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
8171597,2,1,1,F,28,4,1,L,G,0,IMPERIAL,EL CENTRO,2016
8178725,1,1,1,F,30,3,1,L,B,0,IMPERIAL,EL CENTRO,2016
8178725,2,1,1,F,52,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
8178725,4,1,1,F,58,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
8178725,4,2,2,F,17,0,2,M,G,0,IMPERIAL,EL CENTRO,2016
8178745,2,1,3,F,28,4,0,N,-,0,IMPERIAL,EL CENTRO,2016
8178924,1,1,1,M,22,4,1,L,G,0,IMPERIAL,EL CENTRO,2016
8178924,2,1,1,F,65,4,1,L,E,0,IMPERIAL,EL CENTRO,2016
8180003,2,1,4,M,14,4,9,-,-,3,IMPERIAL,HOLTVILLE,2016
8187369,2,1,3,M,37,4,9,P,-,0,IMPERIAL,BRAWLEY,2016
8187776,1,1,1,M,79,3,1,M,G,0,IMPERIAL,EL CENTRO,2016
8187852,2,1,2,F,32,4,3,M,G,0,IMPERIAL,EL CENTRO,2016
8187852,2,2,2,F,44,0,6,M,G,0,IMPERIAL,EL CENTRO,2016
8187931,2,1,1,M,39,4,1,P,W,2,IMPERIAL,EL CENTRO,2016
8188488,1,1,1,M,45,2,1,L,C,0,IMPERIAL,BRAWLEY,2016
8188507,2,1,4,F,55,4,1,P,V,0,IMPERIAL,BRAWLEY,2016
8188550,1,1,2,F,86,4,3,M,G,0,IMPERIAL,BRAWLEY,2016
8188550,2,1,2,F,16,0,3,M,G,0,IMPERIAL,BRAWLEY,2016
8196211,1,1,1,F,67,4,1,M,G,0,IMPERIAL,BRAWLEY,2016
8196223,1,1,2,M,65,4,3,M,G,0,IMPERIAL,BRAWLEY,2016
8198665,3,1,1,F,31,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
8199949,2,1,1,F,63,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
8199949,2,2,2,F,43,0,3,M,G,0,IMPERIAL,EL CENTRO,2016
8199962,2,1,1,F,27,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
8199998,1,1,2,M,25,4,4,L,H,0,IMPERIAL,EL CENTRO,2016
8201895,1,1,1,F,20,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
8281853,2,1,2,F,22,3,3,M,G,0,IMPERIAL,BRAWLEY,2016
8281853,2,2,2,M,0,0,5,M,Q,0,IMPERIAL,BRAWLEY,2016
8281853,2,3,2,M,2,0,6,M,Q,0,IMPERIAL,BRAWLEY,2016
8281905,1,1,1,M,20,4,1,P,W,0,IMPERIAL,BRAWLEY,2016
8285166,1,1,1,F,34,3,1,P,W,1,IMPERIAL,EL CENTRO,2016
8285625,1,1,1,F,44,4,1,L,G,0,IMPERIAL,EL CENTRO,2017
8285637,1,1,2,M,49,0,3,L,G,0,IMPERIAL,EL CENTRO,2017
8285637,1,2,1,M,52,4,1,L,G,0,IMPERIAL,EL CENTRO,2017
8285782,2,1,1,M,32,4,1,P,W,1,IMPERIAL,EL CENTRO,2017
8286160,1,1,4,M,23,4,9,-,-,0,IMPERIAL,EL CENTRO,2016
8300846,1,1,2,M,24,0,3,M,C,0,IMPERIAL,BRAWLEY,2016
8300846,2,1,3,F,57,3,0,P,-,0,IMPERIAL,BRAWLEY,2016
8306733,1,1,4,M,24,3,9,-,-,3,IMPERIAL,HOLTVILLE,2016
8306737,1,1,2,M,5,3,3,-,-,3,IMPERIAL,HOLTVILLE,2017
8306737,1,2,2,M,9,3,6,-,-,3,IMPERIAL,HOLTVILLE,2017
8311553,1,1,2,F,29,4,4,M,H,0,IMPERIAL,EL CENTRO,2017
8311553,1,2,1,F,25,4,1,M,G,0,IMPERIAL,EL CENTRO,2017
8311557,2,1,1,F,58,4,1,M,G,0,IMPERIAL,EL CENTRO,2017
8311666,2,1,1,F,40,3,1,P,W,1,IMPERIAL,EL CENTRO,2017
8311670,1,1,2,F,20,0,4,M,G,0,IMPERIAL,EL CENTRO,2017
8311670,2,1,3,M,14,3,9,-,-,3,IMPERIAL,EL CENTRO,2017
8311674,1,1,1,M,32,2,1,M,G,0,IMPERIAL,EL CENTRO,2017
8311674,2,1,1,F,70,4,1,M,G,0,IMPERIAL,EL CENTRO,2017
8311674,2,2,2,F,51,4,3,M,G,0,IMPERIAL,EL CENTRO,2017
8311678,1,1,2,M,54,4,2,L,E,0,IMPERIAL,EL CENTRO,2017
8311894,2,1,1,F,37,3,1,L,G,3,IMPERIAL,EL CENTRO,2017
8311936,1,1,1,F,63,4,1,M,G,0,IMPERIAL,EL CENTRO,2017
8311936,2,1,1,F,26,4,1,M,G,0,IMPERIAL,EL CENTRO,2017
8312529,2,1,2,F,5,3,4,P,G,0,IMPERIAL,HOLTVILLE,2017
8313291,2,1,4,M,13,4,9,V,-,3,IMPERIAL,BRAWLEY,2017
8316224,1,1,2,M,10,0,4,M,G,0,IMPERIAL,EL CENTRO,2017
8316224,2,1,1,F,39,4,1,M,G,0,IMPERIAL,EL CENTRO,2017
8321541,2,1,4,M,27,3,9,-,-,3,IMPERIAL,BRAWLEY,2017
8325840,1,1,2,F,21,3,2,N,A,1,IMPERIAL,EL CENTRO,2017
8327606,1,1,1,M,80,4,1,M,G,0,IMPERIAL,EL CENTRO,2017
8327606,1,2,2,F,78,3,2,M,G,0,IMPERIAL,EL CENTRO,2017
8327606,1,3,2,M,54,0,4,M,G,0,IMPERIAL,EL CENTRO,2017
8327606,1,4,2,F,28,0,5,M,G,0,IMPERIAL,EL CENTRO,2017
8327606,1,5,2,F,55,0,6,M,G,0,IMPERIAL,EL CENTRO,2017
8327606,1,6,2,F,2,0,0,M,G,0,IMPERIAL,EL CENTRO,2017
